                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.8799,                 3.7337,                  1.362,                0.72575,                0.03472,                0.04917,                0.03482,                 1.5105,                 7.9609,                0.82674,             4.6524e-05,             4.6524e-05,             4.6524e-05
                     55,                 1.9353,                  3.923,                 1.3459,                0.28176,                0.12014,                0.08562,                0.05448,                 1.5105,                 7.9609,                0.82674,             4.7083e-05,             4.7083e-05,             4.7083e-05
                     56,                 1.8262,                 4.1997,                 1.2891,                0.23813,                0.24167,                0.13662,                 0.0807,                 1.5105,                 7.9609,                0.82674,             4.7631e-05,             4.7631e-05,             4.7631e-05
                     57,                 1.7393,                 3.6115,                 1.3848,                0.81988,                0.03472,                0.05301,                0.03716,                 1.4781,                 7.4815,                0.81845,             4.8167e-05,             4.8167e-05,             4.8167e-05
                     58,                 1.9383,                 3.6568,                 1.3161,                0.43275,                 0.2125,                0.15556,                0.09091,                 1.4781,                 7.4815,                0.81845,             4.8692e-05,             4.8692e-05,             4.8692e-05
                     59,                 1.5832,                 3.4752,                 1.2767,                0.47015,                0.29583,                 0.1745,                0.10803,                 1.4781,                 7.4815,                0.81845,             4.9204e-05,             4.9204e-05,             4.9204e-05
                     60,                 1.7456,                 3.3237,                 1.3219,                0.82593,                0.03472,                0.06943,                0.04991,                 1.4582,                 6.9929,                0.81021,             4.9705e-05,             4.9705e-05,             4.9705e-05
                     61,                 1.8123,                 3.5818,                 1.3086,                 0.5217,                0.10419,                0.12954,                0.08516,                 1.4582,                 6.9929,                0.81021,             5.0194e-05,             5.0194e-05,             5.0194e-05
                     62,                 1.6973,                  3.476,                 1.2723,                0.47669,                0.22158,                0.18648,                0.11431,                 1.4582,                 6.9929,                0.81021,             5.0671e-05,             5.0671e-05,             5.0671e-05
                     63,                 1.9868,                 3.9183,                 1.2919,                0.25466,                0.11681,                0.08615,                0.06061,                 1.4384,                   6.53,                0.80644,             5.1137e-05,             5.1137e-05,             5.1137e-05
                     64,                 1.6469,                 3.2995,                 1.3709,                0.07409,                0.28472,                0.17169,                0.11667,                 1.4384,                   6.53,                0.80644,             5.1591e-05,             5.1591e-05,             5.1591e-05
                     65,                 1.4708,                 3.0142,                  1.226,                0.52826,                0.23125,                0.23195,                0.15131,                 1.4384,                   6.53,                0.80644,             5.2033e-05,             5.2033e-05,             5.2033e-05
                     66,                  1.624,                 3.1931,                 1.2488,                0.42689,                0.11934,                 0.1339,                0.09274,                 1.4201,                 5.9514,                0.79972,             5.2463e-05,             5.2463e-05,             5.2463e-05
                     67,                 1.5433,                 3.0414,                 1.1964,                 0.4375,                0.34424,                0.30535,                0.20567,                 1.4201,                 5.9514,                0.79972,             5.2881e-05,             5.2881e-05,             5.2881e-05
                     68,                 1.6782,                 3.6377,                 1.2498,                0.46797,                0.39529,                0.31554,                0.21827,                 1.4201,                 5.9514,                0.79972,             5.3288e-05,             5.3288e-05,             5.3288e-05
                     69,                 1.6777,                 3.3863,                 1.2619,                0.54729,                0.12026,                 0.1237,                0.08462,                 1.4142,                 5.4399,                0.79303,             5.3682e-05,             5.3682e-05,             5.3682e-05
                     70,                 1.6038,                 3.0115,                 1.2868,                 0.4554,                0.25271,                0.25556,                0.17485,                 1.4142,                 5.4399,                0.79303,             5.4065e-05,             5.4065e-05,             5.4065e-05
                     71,                 1.5971,                 3.0764,                 1.1553,                0.51569,                0.33484,                 0.3769,                 0.2554,                 1.4142,                 5.4399,                0.79303,             5.4437e-05,             5.4437e-05,             5.4437e-05
                     72,                 1.6055,                 3.1288,                 1.2375,                0.73921,                0.09579,                0.13255,                0.09321,                 1.3922,                 5.0052,                 0.7811,             5.4796e-05,             5.4796e-05,             5.4796e-05
                     73,                 1.6866,                 2.9998,                 1.3273,                0.42673,                0.28752,                 0.2767,                0.19107,                 1.3922,                 5.0052,                 0.7811,             5.5144e-05,             5.5144e-05,             5.5144e-05
                     74,                 1.5594,                 2.8461,                 1.2204,                0.47527,                0.42195,                0.44295,                0.30349,                 1.3922,                 5.0052,                 0.7811,              5.548e-05,              5.548e-05,              5.548e-05
                     75,                 1.7086,                 3.2103,                 1.2102,                0.74896,                0.10906,                0.13724,                0.09381,                 1.3739,                 4.6179,                 0.7735,             5.5804e-05,             5.5804e-05,             5.5804e-05
                     76,                 1.6463,                 2.7593,                 1.2197,                0.45212,                0.30385,                0.29797,                0.19771,                 1.3739,                 4.6179,                 0.7735,             5.6116e-05,             5.6116e-05,             5.6116e-05
                     77,                 1.6768,                 2.9498,                 1.1928,                0.51476,                 0.4774,                0.47429,                0.31341,                 1.3739,                 4.6179,                 0.7735,             5.6416e-05,             5.6416e-05,             5.6416e-05
                     78,                 1.6018,                 2.7383,                 1.3812,                0.73823,                0.12725,                 0.1376,                 0.0957,                  1.347,                  4.304,                0.76562,             5.6705e-05,             5.6705e-05,             5.6705e-05
                     79,                 1.5141,                 2.6153,                 1.1991,                0.41573,                0.31093,                0.30104,                0.19624,                  1.347,                  4.304,                0.76562,             5.6982e-05,             5.6982e-05,             5.6982e-05
                     80,                 1.4724,                 2.7513,                 1.3015,                0.51791,                0.49235,                0.48449,                0.31393,                  1.347,                  4.304,                0.76562,             5.7247e-05,             5.7247e-05,             5.7247e-05
                     81,                 1.6266,                 2.8142,                 1.1684,                0.73982,                0.13384,                0.13769,                0.09723,                 1.3202,                 4.0159,                0.75957,             5.7501e-05,             5.7501e-05,             5.7501e-05
                     82,                 1.6368,                 2.7794,                 1.2336,                0.53521,                0.30202,                0.30317,                0.19732,                 1.3202,                 4.0159,                0.75957,             5.7742e-05,             5.7742e-05,             5.7742e-05
                     83,                 1.5102,                 2.3864,                 1.2329,                0.57017,                0.50435,                0.50535,                0.32704,                 1.3202,                 4.0159,                0.75957,             5.7972e-05,             5.7972e-05,             5.7972e-05
                     84,                 1.5631,                 2.6019,                 1.1768,                 0.7421,                0.14047,                0.13747,                 0.0982,                 1.3001,                 3.8419,                0.75484,              5.819e-05,              5.819e-05,              5.819e-05
                     85,                 1.4076,                 2.0926,                 1.1852,                0.56001,                0.29789,                0.31535,                0.20769,                 1.3001,                 3.8419,                0.75484,             5.8397e-05,             5.8397e-05,             5.8397e-05
                     86,                 1.3829,                  2.367,                 1.1575,                 0.5557,                0.51754,                0.52996,                 0.3471,                 1.3001,                 3.8419,                0.75484,             5.8591e-05,             5.8591e-05,             5.8591e-05
                     87,                 1.6572,                 2.6471,                 1.1812,                 0.5996,                0.55898,                0.61522,                0.42248,                 1.3001,                 3.8419,                0.75484,             5.8774e-05,             5.8774e-05,             5.8774e-05
                     88,                 1.6938,                 2.8807,                 1.1895,                0.88326,                0.13105,                0.13933,                0.10099,                 1.2828,                 3.6151,                0.75159,             5.8945e-05,             5.8945e-05,             5.8945e-05
                     89,                 1.4266,                 2.4638,                 1.1068,                0.62133,                0.49373,                0.50933,                0.34308,                 1.2828,                 3.6151,                0.75159,             5.9104e-05,             5.9104e-05,             5.9104e-05
                     90,                 1.4429,                 2.3569,                 1.3035,                0.60881,                0.58227,                0.64525,                0.44502,                 1.2828,                 3.6151,                0.75159,             5.9251e-05,             5.9251e-05,             5.9251e-05
                     91,                 1.4693,                 2.1809,                 1.1516,                0.60881,                0.58227,                0.64525,                0.44502,                 1.2828,                 3.6151,                0.75159,             5.9387e-05,             5.9387e-05,             5.9387e-05
                     92,                 1.4582,                  2.422,                  1.201,                0.92735,                 0.1283,                0.14037,                0.10314,                 1.2762,                 3.4082,                0.74938,             5.9511e-05,             5.9511e-05,             5.9511e-05
                     93,                 1.3163,                 2.4336,                 1.1285,                0.82956,                0.32458,                0.34241,                0.22395,                 1.2762,                 3.4082,                0.74938,             5.9623e-05,             5.9623e-05,             5.9623e-05
                     94,                 1.4291,                 2.2082,                 1.1963,                0.65234,                0.55219,                0.57489,                 0.3827,                 1.2762,                 3.4082,                0.74938,             5.9723e-05,             5.9723e-05,             5.9723e-05
